8241|317
4310|709
8183|1413
7350|207
1591|1762
5345|1848
7194|1846
5419|249
19|1357
3800|89
3675|163
6764|1473
701|1023
8555|1144
3248|223
501|764
9818|900
4161|826
1105|1725
2993|1501
8585|906
350|485
716|192
6205|201
7448|557
6653|307
20|1586
5117|1928
385|1058
1567|1834
3238|982
6930|1161
9143|558
6810|1181
3004|591
5384|1423
9343|544
1635|1779
132|351
6806|1078
4218|230
8427|1297
526|1075
6823|1750
5244|1747
7380|1973
6403|220
2522|271
1401|1243
1496|35
5739|345
5634|1109
957|187
1795|1931
8418|1215
3612|1043
177|1960
1440|1019
3465|802
847|255
5431|619
8421|102
691|714
2321|440
6409|1415
7637|1140
2151|1290
2|46
9141|315
7697|1096
6050|709
5549|843
4783|1437
3779|44
6842|16
9634|1226
1339|1853
416|1449
2497|897
7543|1875
7803|1245
7506|1519
2368|970
9721|1053
8482|185
1797|1525
343|1562
1512|1336
908|1783
2537|894
9376|852
9303|149
7629|191
7503|1224
2746|1669
9169|1559
6507|711
1752|1280
5626|1252
5652|92
