83|45
175|148
38|122
69|1
165|127
90|63
28|143
72|147
180|97
116|30
193|78
112|38
12|62
192|40
178|98
173|153
24|180
29|1
4|163
92|56
124|31
55|184
57|120
139|55
81|68
75|7
178|152
173|67
135|152
70|72
48|137
175|137
136|140
136|175
89|28
182|143
1|84
83|77
176|187
153|15
157|112
106|193
197|123
189|122
126|1
130|151
46|128
8|56
75|91
97|90
26|166
86|110
165|120
158|10
186|194
40|68
197|98
99|142
90|2
74|6
153|36
27|62
21|87
5|127
107|199
171|132
197|159
78|67
140|134
185|48
37|183
111|129
32|50
169|104
74|145
130|200
86|102
127|31
103|37
111|32
150|167
199|52
14|76
19|172
188|79
140|161
30|9
78|108
132|46
124|133
95|118
22|121
130|73
27|126
25|164
167|194
175|38
182|124
97|15
154|21
40|196
75|10
123|165
2|35
121|40
176|72
117|199
171|8
88|134
80|90
145|10
176|116
23|93
23|133
199|55
63|125
65|81
139|186
65|137
123|125
30|52
21|51
146|145
76|60
5|116
62|30
59|41
41|97
115|18
154|24
147|7
32|20
42|31
83|165
154|71
121|100
138|4
53|199
158|14
66|121
2|38
155|42
58|54
172|32
157|52
9|126
200|8
34|130
147|140
65|86
54|115
77|91
67|199
88|145
80|171
55|70
155|152
149|150
9|23
165|16
17|39
87|15
58|181
103|174
192|75
16|18
110|114
143|180
96|108
198|174
78|100
149|82
149|22
188|33
188|46
142|114
178|164
137|95
136|171
53|165
92|55
113|38
162|92
70|16
145|123
91|178
118|45
40|46
147|113
54|134
40|128
62|169
20|159
17|136
58|98
40|139
40|107
155|194
82|157
48|1
