9839|1444
9962|1062
8080|837
1732|386
7916|97
1700|1601
2318|1706
2360|93
824|1733
2940|813
5531|739
6664|1631
5654|1794
1201|1241
8014|160
8256|480
1051|1908
5797|432
3877|1176
3277|835
3059|237
4752|890
2858|1284
8155|1241
5393|572
3509|881
3167|1374
5820|344
3975|797
2950|1012
6341|1866
1482|1607
429|634
789|704
705|1421
3550|1679
9766|1360
2501|257
5976|1313
6515|421
5243|1903
9844|586
6953|286
2923|1178
2077|233
3754|405
5783|1219
9623|1584
1530|1880
4026|1780
5495|505
1705|440
9087|1456
8944|581
3160|1502
6958|85
8810|1197
5392|1261
5095|338
6182|1423
840|716
8359|513
6538|43
4596|96
1965|1365
5509|1455
1875|1709
674|1172
141|118
2854|799
9719|1958
1928|1263
7804|628
1455|1880
6036|1473
3053|1478
4138|1635
2126|446
3226|953
9939|1059
3008|1471
2421|1725
367|1746
3569|1491
5075|997
7673|1214
3977|1085
4432|403
198|1317
8768|716
8231|746
23|1582
3547|1173
3838|1003
7058|1511
4420|123
8705|1086
1417|5
7672|1176
368|100
