0|9434|(stellulate gerfalcon.###0)(rainwear tamaris hones.###0)(diarian lexically womenfolks.###0)
1|7326|(scarey alkalize colourway.###0)(despotism defrocked.###0)
2|7330|(besmuts mathesis misaligned.###0)(irrisory turnaround.###0)(insatiable parabola.###0)(arrowy sings jeopardy.###0)
3|8907|(distracted councillor.###0)(oculars outwearied cells.###0)
4|8647|(theopathy obbligati.###0)(pedately whirl ditrochean.###0)(rilles scramble cheruping.###0)(katabolism elderberry.###0)(freeborn veals uglying.###0)
5|5504|(grazers miche azotized.###0)(ped compot shaman syeing.###0)(wanker nicknamed acheniums.###0)(raddle nodations cut.###0)
6|6503|(magsman gloat pezizoid.###0)(beavered aggrates rahs.###0)(racquet prorogate squallings.###0)(choreuses morphemic.###0)(sellers urinoscopy klangfarbe.###0)
7|4660|(roaches naoi scribbles.###0)(chyle recheats rand.###0)(dimidiates fungus kaons.###0)(naturist gaudiest railed.###0)(coccid skepped pitter.###0)
8|5591|(littling mammifers precision.###0)(commence ochlocrat droughts.###0)(atria gonzo truck acromion.###0)
9|1833|(reddens rearisen pepped.###0)(snappy paramoecia spiritedly.###0)(squidge aphoriser value.###0)
10|2074|(decision uniforms nurdle.###0)(conjeed supposes sedately.###0)
11|7053|(fealing puberulous eparchies.###0)(cliffs preachily wealth.###0)(calves mazut sinfonia.###0)(reproval sext minimizing.###0)
12|2946|(hackbuts ducts sorry.###0)(flexural indicial sternport.###0)(canonries evet uncocking.###0)(obverts symbolled tableland.###0)
13|4098|(pions roadsman unbonneted.###0)(imaging mangetouts burnt.###0)
14|5545|(trochiscus clonally.###0)(pasigraphy devilkins.###0)(stoop windings jumboised.###0)
15|5565|(misseen dissimile outmarch.###0)(dragonised zetas assoils.###0)(kneel wino sloop ignoble.###0)
16|5439|(rubstone gestation egalities.###0)(unmortised shipload.###0)
17|5016|(polygenist shtumm attacker.###0)(defacing watter hemichorda.###0)(unstring affirmers wharfies.###0)
18|4226|(agamic obtuser sloans.###0)(feline grappling steelyard.###0)(abstersion cagy stork.###0)(skollie mackled clippie.###0)(shelviest pakehas clysters.###0)
19|4309|(solely aorist clitorises.###0)(upfollows whereas eyes.###0)(semmits lamming gratulates.###0)(phyton cosier insetting.###0)
20|1938|(thete flourishes fount.###0)(navarchs psychopomp.###0)(linkboy probations almous.###0)
21|8367|(jell fraudful unimposed.###0)(gunstone sunlounger.###0)(unvariable dissaving.###0)
22|9225|(arsonists altarage assassins.###0)(lingual algesia passus.###0)(matriliny masteries.###0)(comsat rambled intimation.###0)(febrifuge shauchling.###0)
23|4180|(cardioids tessituras.###0)(bullaces flouncing probably.###0)
24|1710|(subgenres squadron notarizing.###0)(parastichy stillage.###0)(livor backbonds heft.###0)(faun neonatal deranging.###0)
25|782|(unshed egested afeard.###0)(riva feller becharmed.###0)(adonises diddle undersides.###0)(wardenship brideman.###0)
26|3764|(after primiparae despises.###0)(hacklier spuriosity.###0)(lumme cotta playbook.###0)(orthograph dissonance.###0)
27|6226|(swindles crumble introns.###0)(caducous clutters bicorn.###0)(palliatory ventail overdone.###0)(brutelike pretence ghats.###0)(blissless miskick scarth.###0)
28|9042|(booklands perilymph.###0)(kerosene officered gappy.###0)(aptest unexpanded twilt.###0)
29|2650|(hybrid jinxed uprootals.###0)(flexor patterers si.###0)
30|8655|(kathaks ethicists railcards.###0)(chromidia jennetings.###0)(gen nostalgia undercard.###0)(recco arabized gag custards.###0)
31|7974|(subsistent confront.###0)(pampered cornetcies.###0)
32|9738|(monardas playsome sextantal.###0)(yaff camelid apotropaic.###0)(ululations furtively.###0)(sperse clarinos wire.###0)
33|2562|(wammus pentose abetter.###0)(underfired confirmand.###0)(scouring remaster atheling.###0)
34|833|(colourised taillike.###0)(ripely firework throatily.###0)
35|7931|(sialoid trihedrals fleurets.###0)(rawest cotangents stockwork.###0)
36|5585|(brassily pilule ripienos.###0)(ascospores wines sunburned.###0)
37|6708|(tinkle ossuaries unglazed.###0)(bracketed spud seamarks.###0)(dungeon imagism swagsmen.###0)
38|6659|(forfex gymnastics lazes.###0)(cladist adders larvikite.###0)(rosery hymnology fora.###0)(warranter turndun solanders.###0)(phratries documental.###0)
39|1473|(imprudence annualizes.###0)(nightspot khanum birkies.###0)
40|4731|(nyas crispy shrined.###0)(handcuff parqueted shotmaker.###0)(sexagenary kreutzers.###0)(recidivist vagal gavel.###0)(ellwand birthmark cubical.###0)
41|6646|(comfort sheet trine.###0)(realtie intimating itches.###0)(unclasps emissary thunderous.###0)(blenched palletize monitored.###0)(archaized cosseting.###0)
